ident,source,context,max_length,Sv-SE,uk
ident1,source1,context,20,källa1,джерело1
ident2,source2,context,20,källa2,джерело2
ident3,source3,context,20,källa3,джерело3
ident4,source4,context,20,källa4,джерело4
ident5,source5,context,20,källa5,джерело5
ident6,source6,context,20,källa6,джерело6
ident7,source7,context,20,källa7,джерело7
ident8,source8,context,20,källa8,джерело8
ident9,source9,context,20,källa9,джерело9
ident10,source10,context,20,källa10,джерело10
ident11,source11,context,20,källa11,джерело11
ident12,source12,context,20,källa12,джерело12
ident13,source13,context,20,källa13,джерело13
ident14,source14,context,20,källa14,джерело14
ident15,source15,context,20,källa15,джерело15
ident16,source16,context,20,källa16,джерело16
ident17,source17,context,20,källa17,джерело17
ident18,source18,context,20,källa18,джерело18
ident19,source19,context,20,källa19,джерело19
ident20,source20,context,20,källa20,джерело20
